CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
18597,DTCOM-DIRECT,DTCY,Bens Industriais,Serviços Diversos,Serviços Diversos,,7338756,450655
21091,DURATEX,DTEX,Materiais Básicos,Madeira e Papel,Madeira,NM             ,691784501,0
21741,ECO SEC AGRO,ECOA,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,MB             ,100000,0
21903,ECON,ERDV,Bens Industriais,Transporte,Exploração de Rodovias,,736714537,0
19453,ECORODOVIAS,ECOR,Bens Industriais,Transporte,Exploração de Rodovias,NM             ,558699080,0
19763,ENERGIAS BR,ENBR,Utilidade Pública,Energia Elétrica,Energia Elétrica,NM             ,606850394,0
15342,ESCELSA,ESCE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,5876012,0
16985,EBE,EBEN,Utilidade Pública,Energia Elétrica,Energia Elétrica,,39091735037,0
5380,ACO ALTONA,EALT,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,,9750000,12750000
4359,ELEKEIROZ,ELEK,Materiais Básicos,Químicos,Petroquímicos,,14518150,16967020
17485,ELEKTRO,EKTR,Utilidade Pública,Energia Elétrica,Energia Elétrica,,91880972,101878293
15784,ELETROPAR,LIPR,Utilidade Pública,Energia Elétrica,Energia Elétrica,,11764889,0
16993,EMAE,EMAE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,14705370,22241714
20087,EMBRAER,EMBR,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,NM             ,740465044,0
19011,ECONORTE,ECNT,Bens Industriais,Transporte,Exploração de Rodovias,,18928597,0
16497,ENCORPAR,ECPR,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,,1026245,873819
22365,ENAUTA PART,ENAT,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",NM             ,265806905,0
5576,ENERSUL,ENER,Utilidade Pública,Energia Elétrica,Energia Elétrica,,647015,0
14605,ENERGISA MT,ENMT,Utilidade Pública,Energia Elétrica,Energia Elétrica,,75529774,143412165
15253,ENERGISA,ENGI,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,755993938,1058567972
